buffer,,bm3,,bm3+NADPH_10mg_ml_2ul,,bm3+NADPH_10mg_ml_4ul,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
782.9886475,1.084635642E-005,782.9886475,0.002582358429,782.9886475,-9.276540368E-005,782.9886475,0.002259187633,
782.0115967,-0.001529751928,782.0115967,0.004258342087,782.0115967,-0.0006122890627,782.0115967,0.0003429950448,
780.9993286,-0.0007136589265,780.9993286,0.002005375223,780.9993286,0.0009926697239,780.9993286,0.0008057228988,
779.9866943,0.0001121524911,779.9866943,0.001902274555,779.9866943,1.221834918E-005,779.9866943,0.0007072365843,
779.0084839,-0.001600630698,779.0084839,0.00259686308,779.0084839,8.719269681E-005,779.0084839,0.0004477732582,
777.9949951,0.001435936196,777.9949951,0.004763418809,777.9949951,0.001031044405,777.9949951,0.002291142708,
777.0160522,-2.060474253E-005,777.0160522,0.003676518798,777.0160522,0.0004466590181,777.0160522,0.001000634977,
776.0018921,-0.0005218581064,776.0018921,0.003219199134,776.0018921,0.001284885104,776.0018921,0.001043136115,
774.9871826,0.0001900963834,774.9871826,0.004760121461,774.9871826,0.0004317854473,774.9871826,0.0005858838558,
774.0071411,0.001614190522,774.0071411,0.005790212192,774.0071411,0.0002106593165,774.0071411,0.00174999563,
772.9916992,-0.001355291461,772.9916992,0.002147129737,772.9916992,2.215895438E-005,772.9916992,-3.59282385E-005,
772.0109863,0.000681620324,772.0109863,0.0043250327,772.0109863,9.25004133E-005,772.0109863,0.001196127734,
770.994812,0.001183668384,770.994812,0.008178366348,770.994812,0.0006296923966,770.994812,0.001345096622,
770.0132446,0.0005210345844,770.0132446,0.004562494811,770.0132446,0.0008642080938,770.0132446,0.001537835109,
768.9963379,-0.0005911436165,768.9963379,0.003304353915,768.9963379,0.0001416711166,768.9963379,0.001343642594,
768.0140381,-0.000226805394,768.0140381,0.005758680869,768.0140381,7.396251021E-005,768.0140381,0.0009017413249,
766.9963379,0.000366725988,766.9963379,0.004535734653,766.9963379,0.0006577166496,766.9963379,0.00211333856,
766.0133667,0.0001607557206,766.0133667,0.0044242125,766.0133667,0.0008484383579,766.0133667,0.001207627007,
764.994873,0.0007499423809,764.994873,0.005142939743,764.994873,0.0007478938205,764.994873,0.001492895884,
764.0111084,0.000806423137,764.0111084,0.0053711785,764.0111084,0.0008172896341,764.0111084,0.0016232325,
762.9918823,0.0007796340506,762.9918823,0.0059372494,762.9918823,0.001351795974,762.9918823,0.002451447304,
762.0073853,0.0005542355357,762.0073853,0.006401066668,762.0073853,0.000716933806,762.0073853,0.002665981883,
760.9873657,-0.0001778002043,760.9873657,0.005097809248,760.9873657,4.532869571E-005,760.9873657,0.002072865376,
760.0022583,0.0001664786832,760.0022583,0.004515907262,760.0022583,0.0002031747135,760.0022583,0.001039684983,
759.0166626,-0.001277817064,759.0166626,0.004156586714,759.0166626,-0.000283307163,759.0166626,-0.0005470917094,
757.9954834,0.001091091079,757.9954834,0.00561372377,757.9954834,0.001282911864,757.9954834,0.001281224308,
757.0092163,-0.0006763393758,757.0092163,0.005315935239,757.0092163,0.001438948908,757.0092163,0.001016072929,
755.9873657,-0.0005979681737,755.9873657,0.004458314739,755.9873657,0.000672597962,755.9873657,0.0003002774611,
755.0003052,0.0009531569667,755.0003052,0.005529635586,755.0003052,0.0009947712533,755.0003052,0.002860896988,
754.0128784,-0.0008835723274,754.0128784,0.003001966747,754.0128784,0.0002375946206,754.0128784,0.0009232459124,
752.9899292,0.0007526651025,752.9899292,0.004793412518,752.9899292,0.001082760864,752.9899292,0.001663767733,
752.00177,-0.0007114880718,752.00177,0.004364958033,752.00177,-0.0008873956394,752.00177,0.001074119355,
751.0133667,-0.0009467044729,751.0133667,0.007769250311,751.0133667,0.0005250776303,751.0133667,0.002906968351,
749.9891968,0.0002539379057,749.9891968,0.005473323632,749.9891968,8.258409071E-005,749.9891968,0.001602914301,
749,0.0001969333243,749,0.005770065822,749,0.0002529536723,749,0.001555422437,
748.010437,0.0003645756515,748.010437,0.005097102374,748.010437,0.002183239209,748.010437,0.002129128436,
746.9852295,3.896013004E-005,746.9852295,0.004501678515,746.9852295,0.0004388075613,746.9852295,0.00173746841,
745.9949951,0.0004228200705,745.9949951,0.00438030716,745.9949951,0.001345434226,745.9949951,0.002026648493,
745.0043945,0.0005270473775,745.0043945,0.005722902715,745.0043945,0.001072121202,745.0043945,0.001858909382,
