blank,,saharas_BM3WTHeme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
577.0292969,0.0004335474514,577.0292969,0.00884479098,
575.9862061,-0.0003938575683,575.9862061,0.008627394214,
574.9428101,-6.093129559E-5,574.9428101,0.009532905184,
574.0482178,-9.017735283E-5,574.0482178,0.009441626258,
573.0043335,-0.0003572864516,573.0043335,0.009854254313,
571.960144,0.001415704726,571.960144,0.009986330755,
571.0649414,-5.64277434E-5,571.0649414,0.009842179716,
570.0202637,0.0002244375501,570.0202637,0.009720789269,
568.9753418,-0.0008944738656,568.9753418,0.009562939405,
567.9301147,-0.0001285824546,567.9301147,0.009771194309,
567.0339966,0.0003554303257,567.0339966,0.01012480538,
565.9882813,0.0003956141882,565.9882813,0.01033926848,
564.9423218,0.0006967358058,564.9423218,0.0101929605,
564.0455933,0.0003583578509,564.0455933,0.009881476872,
562.9990845,0.0002120319405,562.9990845,0.009643868543,
561.9523926,-0.0008491609478,561.9523926,0.009607583284,
561.0549927,-0.0005920225522,561.0549927,0.008997569792,
560.0077515,-4.348624861E-5,560.0077515,0.009192704223,
558.9602661,0.0001742475142,558.9602661,0.009236543439,
558.0621948,0.0004549511359,558.0621948,0.00913276989,
557.0142212,0.0004005111114,557.0142212,0.009455145337,
555.9659424,-0.000939317164,555.9659424,0.008858608082,
555.0672607,-0.000122061072,555.0672607,0.009696462192,
554.0185547,-0.0001502161758,554.0185547,0.009415463544,
552.9695435,0.0001009411208,552.9695435,0.009220360778,
552.0701904,6.373593351E-5,552.0701904,0.00963447243,
551.020752,2.619738916E-5,551.020752,0.008607458323,
549.9710083,-9.9338984E-5,549.9710083,0.009381710552,
549.0710449,0.001029072446,549.0710449,0.009778951295,
548.020813,-0.0005668949452,548.020813,0.009237865917,
546.9703369,-8.541529678E-5,546.9703369,0.009805163369,
546.0697021,-0.0002706828527,546.0697021,0.01007353794,
545.0187988,-2.873247468E-5,545.0187988,0.0100309914,
543.9675903,0.0002597398125,543.9675903,0.01121528726,
543.0663452,-0.0002905504371,543.0663452,0.01027620677,
542.0146484,0.0002018539089,542.0146484,0.01069981698,
540.9627075,-0.0003390256024,540.9627075,0.01045969222,
540.0608521,-0.0001190591356,540.0608521,0.0113702314,
539.0084229,-0.0003691840393,539.0084229,0.010697986,
537.9557495,-0.0001975167834,537.9557495,0.01064373273,
537.0532837,0.0002100377606,537.0532837,0.01230278891,
536.0001221,-0.0004913482699,536.0001221,0.01069618203,
534.9467163,-0.0001836997399,534.9467163,0.01066935901,
534.0436401,-0.001143429778,534.0436401,0.01044296008,
532.9897461,-0.0001438503823,532.9897461,0.01112620346,
531.9356689,0.001038750866,531.9356689,0.0111654317,
531.0319214,-0.0005752709694,531.0319214,0.01074659452,
529.977356,0.0007358362782,529.977356,0.01158956438,
529.0732422,0.00017950451,529.0732422,0.01147557795,
528.0181885,0.0003158977779,528.0181885,0.01168725267,
526.9628906,7.334114343E-5,526.9628906,0.01159323286,
526.0581665,4.685613021E-5,526.0581665,0.01158485841,
525.0023804,-0.0001305492042,525.0023804,0.0113820564,
523.9464111,-0.0002242181363,523.9464111,0.01164797787,
523.0410767,-0.000527339289,523.0410767,0.01125457603,
521.9846191,-0.0003003286838,521.9846191,0.01154843718,
520.9279175,0.0008829094586,520.9279175,0.01303263102,
520.0219727,-6.7350069E-5,520.0219727,0.01286365371,
518.9647827,-0.0001223198633,518.9647827,0.01177780796,
518.0584717,-0.0002371542505,518.0584717,0.01234614477,
517.0008545,2.826839773E-5,517.0008545,0.01245263405,
515.9429932,-0.0001298246061,515.9429932,0.01295733545,
515.0360718,0.0001378387678,515.0360718,0.01284264307,
513.9777222,-0.0003275410272,513.9777222,0.0129684303,
513.0704346,-0.0003023981117,513.0704346,0.01337540057,
512.0116577,1.806878208E-5,512.0116577,0.01347762998,
510.9526672,-0.0006957232254,510.9526672,0.01436608285,
510.0447693,-0.0006862123264,510.0447693,0.0133701954,
508.985321,-0.0004436658928,508.985321,0.01371908281,
507.9256287,0.0001194801807,507.9256287,0.01453417353,
507.0171204,-0.00026374968,507.0171204,0.01428777352,
505.9570007,-0.0007823454798,505.9570007,0.01452737488,
505.0481262,-0.0005858183722,505.0481262,0.01445575338,
503.9875488,4.452614667E-5,503.9875488,0.01534264442,
502.9267273,0.0001495430915,502.9267273,0.01544016134,
502.0172729,-5.125391453E-6,502.0172729,0.01639341749,
500.9560242,-5.896423318E-5,500.9560242,0.01642245054,
500.0462036,-0.0004380284809,500.0462036,0.01666406542,
498.9844971,-0.0001847864914,498.9844971,0.01626765542,
498.0742798,-0.0001878914773,498.0742798,0.01747872494,
497.012146,1.568717926E-5,497.012146,0.01674089581,
495.9497986,-0.0006324512069,495.9497986,0.01646307297,
495.0390015,-0.0009281584062,495.0390015,0.01603533886,
493.9762268,-0.0002962415165,493.9762268,0.01715219952,
493.0650635,-0.0005796657642,493.0650635,0.01697781682,
492.0018311,-0.0002652501571,492.0018311,0.01759839617,
490.9383545,1.025096481E-5,490.9383545,0.0179400146,
490.0266418,7.771662786E-5,490.0266418,0.01817229949,
488.9627686,0.000638739788,488.9627686,0.01890315861,
488.0506592,3.077950532E-5,488.0506592,0.018668212,
486.9863586,9.260397928E-5,486.9863586,0.01895734668,
486.0738831,0.0002360924263,486.0738831,0.01906033047,
485.0091553,6.05735886E-6,485.0091553,0.019499477,
483.9441833,-0.0002771502768,483.9441833,0.01943975314,
483.0311584,-0.0006701880484,483.0311584,0.0195329152,
