buffer only,,bm3 dm 1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
703.9840088,0.0001079320136,703.9840088,0.001073133317,
703.0148926,-0.0001020822601,703.0148926,0.001605772297,
702.0095215,8.139311103E-005,702.0095215,0.001588131068,
701.0038452,-0.0004397869343,701.0038452,0.001100822818,
699.9978027,0.0001034267552,699.9978027,0.001443286194,
698.9914551,-0.0002209581726,698.9914551,0.001184992259,
697.9848022,9.925814084E-005,697.9848022,0.001566281775,
697.0137329,-0.0001725733455,697.0137329,0.001094127307,
696.0064697,-0.0001463863591,696.0064697,0.001430352335,
694.9987793,-0.0002180604206,694.9987793,0.001312769833,
693.9908447,-0.0002026915899,693.9908447,0.001481648767,
692.9825439,0.0001182373089,692.9825439,0.001531470567,
692.0098877,-0.0001272367808,692.0098877,0.001213623444,
691.0009155,-0.0005254777498,691.0009155,0.001031433581,
689.9916382,-8.205077029E-005,689.9916382,0.001295581809,
688.9821167,0.0001696897816,688.9821167,0.001798860496,
688.0081787,-7.288876805E-005,688.0081787,0.001192857162,
686.9979248,-0.0001417284366,686.9979248,0.001327855396,
685.9873657,-6.595243758E-005,685.9873657,0.001312769833,
685.0126343,-5.896423318E-005,685.0126343,0.00171452004,
684.0014038,6.233788736E-005,684.0014038,0.001847678795,
682.9898682,0.0001265231549,682.9898682,0.001684556482,
682.0141602,0.0002881546388,682.0141602,0.001924478798,
681.0020142,0.000235263622,681.0020142,0.001526119304,
679.989502,0.0003084113705,679.989502,0.001928066951,
679.0128784,3.391075097E-006,679.0128784,0.001744277775,
677.9997559,-0.0001422977366,677.9997559,0.001398850232,
676.9863281,0.000134576112,676.9863281,0.001472376054,
676.0087891,-8.613996033E-005,676.0087891,0.001676656655,
674.9946899,-4.374508353E-005,674.9946899,0.001607720973,
674.0166016,-9.949426749E-005,674.0166016,0.001790022827,
673.0018921,-0.0002864114358,673.0018921,0.001495882985,
671.9868774,-3.62403398E-007,671.9868774,0.001835330739,
671.0078125,9.275932825E-005,671.0078125,0.001981632551,
669.9921875,-0.0004920205101,669.9921875,0.001556851319,
669.0124512,-4.141753038E-007,669.0124512,0.001923516742,
667.9962158,-0.0003544930369,667.9962158,0.001778819948,
667.0159912,-0.000110519024,667.0159912,0.001530561363,
665.9991455,-0.0003372149949,665.9991455,0.001694119652,
664.9818726,5.451927063E-005,664.9818726,0.002086078748,
664.0007324,-0.0002170254884,664.0007324,0.001598887262,
662.9829712,3.657841444E-005,662.9829712,0.002272692742,
662.0012207,-0.0002328077535,662.0012207,0.002231320133,
660.9827271,-9.229955322E-005,660.9827271,0.001705190283,
660.0004272,-0.0001813709823,660.0004272,0.002028936986,
659.0178223,3.077950532E-005,659.0178223,0.002310452051,
657.9984131,0.0001538416691,657.9984131,0.00219257921,
657.0151978,8.216983406E-005,657.0151978,0.002172702691,
655.9952393,-0.0003009495267,655.9952393,0.002146037295,
655.0114746,-9.732033504E-005,655.0114746,0.002396496013,
653.9909058,-0.0002125235624,653.9909058,0.002364507411,
653.0064697,0.0001180042746,653.0064697,0.002548064571,
651.9853516,5.703053102E-005,651.9853516,0.002276049694,
651.0003052,2.842372305E-005,651.0003052,0.002037623664,
650.0151367,-0.0001250629866,650.0151367,0.002533795778,
648.992981,-7.366521459E-005,648.992981,0.002247426426,
648.0072021,-0.0003136763989,648.0072021,0.002319846768,
646.9844971,9.547794616E-005,646.9844971,0.002445511753,
645.9980469,-7.356169226E-005,645.9980469,0.002417658456,
645.0113525,-0.0001335510606,645.0113525,0.002513929736,
643.987793,-9.535343997E-005,643.987793,0.00262441556,
643.0004883,-0.0003282653051,643.0004883,0.002175408183,
642.0129395,0.0001695085084,642.0129395,0.002464984311,
640.9884644,5.33024795E-005,640.9884644,0.002479459159,
640.0003052,-0.0002676819568,640.0003052,0.002215916989,
639.0119019,-0.0001305492042,639.0119019,0.002293718979,
637.9865112,-0.000259972614,637.9865112,0.002243367257,
636.9975586,-0.000101150581,636.9975586,0.002221406903,
636.0082397,2.265081275E-005,636.0082397,0.002365210094,
634.9820557,1.423730623E-006,634.9820557,0.002510753227,
633.9921265,-3.975902655E-005,633.9921265,0.002344414825,
633.0020142,-3.830954302E-005,633.0020142,0.002393789124,
632.0115967,1.54283116E-005,632.0115967,0.002224737313,
630.9841919,-0.0002674232528,630.9841919,0.00230514328,
629.9932251,-3.613530862E-005,629.9932251,0.002207409125,
629.0020142,-4.074260141E-005,629.0020142,0.002399827819,
628.010498,-6.098306039E-005,628.010498,0.002145672916,
626.9819336,-3.820600978E-005,626.9819336,0.00235839095,
625.9898071,4.6778463E-005,625.9898071,0.002474356443,
624.9974365,-0.0001532179012,624.9974365,0.002279302338,
624.0047607,3.94520066E-005,624.0047607,0.002222031355,
623.0119019,-2.34002855E-005,623.0119019,0.002203818643,
621.9819336,-9.866610344E-005,621.9819336,0.002426014282,
620.9884644,9.783409041E-005,620.9884644,0.00223857956,
619.9946899,-0.0003339558607,619.9946899,0.002110373229,
619.0006714,-0.0001285306935,619.0006714,0.00217283261,
618.0064087,-0.0003432158264,618.0064087,0.002190627856,
617.0117798,2.852727448E-005,617.0117798,0.002342957305,
616.0169678,-2.433212831E-005,616.0169678,0.002421380719,
614.9850464,-4.648871254E-005,614.9850464,0.002097419463,
613.989624,-8.148138295E-005,613.989624,0.00252163643,
612.9938965,6.821488205E-005,612.9938965,0.002501692856,
611.9980469,-0.0001677086839,611.9980469,0.002333900426,
611.0018311,4.297283158E-005,611.0018311,0.002403029473,
610.0054321,0.0001754905388,610.0054321,0.002482557204,
609.008606,2.089047848E-005,609.008606,0.002250522841,
608.0116577,-5.508184768E-005,608.0116577,0.002539992798,
607.0144043,-7.231937343E-005,607.0144043,0.002550564241,
606.0169067,-0.0001900649513,606.0169067,0.002470034873,
604.9821167,-0.0002965519379,604.9821167,0.002251407597,
603.9840088,2.839783519E-005,603.9840088,0.002529317513,
602.9857178,-0.0002452261979,602.9857178,0.002515413798,
