buffer only,,DM full,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
667.0159912,4.812468251E-005,667.0159912,0.003446298419,
665.9991455,5.74706537E-005,665.9991455,0.003316795919,
664.9818726,0.0001878692128,664.9818726,0.003164594062,
664.0007324,-6.885121547E-005,664.0007324,0.002788047772,
662.9829712,0.0001922976517,662.9829712,0.003364950418,
662.0012207,0.0001333073014,662.0012207,0.003120607231,
660.9827271,-0.0001231997303,660.9827271,0.003121128771,
660.0004272,9.464941104E-005,660.0004272,0.003198388964,
659.0178223,-2.236490036E-005,659.0178223,0.003166184528,
657.9984131,0.0001527281856,657.9984131,0.003270237707,
657.0151978,0.000144312362,657.0151978,0.003382820636,
655.9952393,-1.449611773E-006,655.9952393,0.003187254071,
655.0114746,0.0002174965921,655.0114746,0.003700484755,
653.9909058,0.0002364550164,653.9909058,0.003480219515,
653.0064697,-0.0001555468043,653.0064697,0.003451673314,
651.9853516,6.989773829E-005,651.9853516,0.003393647494,
651.0003052,-0.0002062621788,651.0003052,0.003290973138,
650.0151367,-8.562234143E-005,650.0151367,0.003525678068,
648.992981,-0.0002107641776,648.992981,0.003362263553,
648.0072021,2.66374791E-005,648.0072021,0.003573490307,
646.9844971,-0.000192083171,646.9844971,0.003480741521,
645.9980469,-7.449342957E-005,645.9980469,0.003373533254,
645.0113525,1.884539415E-005,645.0113525,0.003397352062,
643.987793,0.0002154505783,643.987793,0.003714556806,
643.0004883,-8.034261555E-005,643.0004883,0.003677406348,
642.0129395,-4.182970952E-005,642.0129395,0.003481341526,
640.9884644,0.0002915997757,640.9884644,0.003977782559,
640.0003052,-6.848887278E-005,640.0003052,0.003410631791,
639.0119019,-0.0001684849703,639.0119019,0.003346089739,
637.9865112,-0.0001781624596,637.9865112,0.003481941763,
636.9975586,-0.0001969475561,636.9975586,0.003816939658,
636.0082397,-4.384861677E-005,636.0082397,0.003640311072,
634.9820557,-0.0002184743789,634.9820557,0.0036617429,
633.9921265,-5.730775229E-005,633.9921265,0.003774871351,
633.0020142,-0.0002056929516,633.0020142,0.003624257632,
632.0115967,-2.826655691E-005,632.0115967,0.003692313097,
630.9841919,0.0001763710316,630.9841919,0.003658036003,
